anio;mes;compras_nal;compras_Internacional;cupo_no_utilizado;tc_bloqueadas_temp
2013;enero;2.131.367;374.324;29.249.840;1.554.920
2013;febrero;2.034.579;288.371;29.672.156;1.603.771
2013;marzo;2.190.844;341.090;29.454.132;1.726.808
2013;abril;2.184.329;366.135;27.802.497;1.594.807
2013;mayo;2.346.644;386.171;28.319.829;1.596.600
2013;junio;2.351.796;408.929;28.659.351;1.628.420
2013;julio;2.463.234;471.752;28.734.436;1.539.812
2013;agosto;2.372.257;410.753;28.882.974;1.692.972
2013;septiembre;2.375.481;410.925;28.842.871;1.629.637
2013;octubre;2.354.589;470.336;29.921.916;1.588.445
2013;noviembre;2.456.844;417.885;30.279.774;1.707.544
2013;diciembre;3.120.568;466.017;30.409.743;1.556.630
2014;enero;2.267.723;486.508;30.435.801;1.602.855
2014;febrero;2.186.724;377.445;30.389.196;744.522
2014;marzo;2.553.342;428.447;30.272.437;1.656.942
2014;abril;2.414.367;478.639;29.844.669;1.660.183
2014;mayo;2.558.135;482.132;28.737.807;1.707.958
2014;junio;2.516.423;499.785;29.976.845;1.707.538
2014;julio;2.645.617;581.328;29.230.383;1.490.228
2014;agosto;2.517.749;495.173;32.042.463;1.697.845
2014;septiembre;2.729.554;548.721;32.531.163;1.639.042
2014;octubre;2.520.881;584.363;32.800.049;1.580.302
2014;noviembre;2.676.284;548.706;33.000.182;1.681.922
2014;diciembre;3.539.703;612.896;33.124.241;1.587.259
2015;enero;2.489.289;533.847;33.362.070;1.690.457
2015;febrero;2.438.910;426.566;33.862.090;1.628.937
2015;marzo;2.914.437;501.652;33.978.258;1.631.639
2015;abril;2.614.598;495.787;34.307.764;1.646.322
2015;mayo;2.748.008;526.466;34.726.474;1.746.013
2015;junio;2.996.526;639.209;35.174.474;1.605.101
2015;julio;2.938.535;673.945;35.628.297;1.611.901
2015;agosto;2.915.096;525.293;35.713.928;1.593.182
2015;septiembre;2.965.183;492.382;36.136.715;1.553.401
2015;octubre;2.879.323;541.691;36.687.175;1.685.884
2015;noviembre;3.274.805;579.412;36.777.970;1.663.585
2015;diciembre;3.824.719;577.851;37.179.635;1.534.708
2016;enero;2.809.585;531.181;37.104.294;1.696.357
2016;febrero;3.029.092;496.031;38.137.426;1.690.233
2016;marzo;3.083.398;579.340;38.131.769;1.755.671
2016;abril;3.007.722;530.663;38.341.762;1.794.127
2016;mayo;3.315.780;642.650;38.727.524;1.804.045
2016;junio;3.422.792;699.016;39.762.943;1.732.950
2016;julio;3.115.245;697.802;40.146.233;1.750.252
2016;agosto;3.390.656;672.735;40.496.415;1.662.935
2016;septiembre;3.209.154;626.969;40.541.388;1.795.770
2016;octubre;3.299.334;704.244;40.811.297;1.802.633
2016;noviembre;3.730.568;711.803;40.599.127;1.840.013
2016;diciembre;4.104.828;641.404;41.874.275;1.789.575
2017;enero;3.298.849;697.882;40.747.019;1.757.526
2017;febrero;3.039.975;569.497;41.197.663;1.809.145
2017;marzo;3.592.843;614.508;42.117.650;1.931.802
2017;abril;3.061.390;673.891;42.603.301;2.021.490
2017;mayo;3.587.096;746.115;42.611.305;1.850.849
2017;junio;3.555.136;775.875;43.031.143;1.892.166
2017;julio;3.581.943;792.714;43.682.299;1.860.541
2017;agosto;3.510.051;703.444;44.551.163;1.893.461
2017;septiembre;3.376.478;655.691;44.951.763;1.976.006
2017;octubre;3.565.983;770.021;45.551.650;1.894.505
2017;noviembre;4.031.612;788.790;46.019.844;1.935.263
2017;diciembre;4.203.373;692.694;45.949.839;1.874.325
